CATALOG_NAME,SCHEMA_NAME
PRD_CFO_A5501,PCFOPCFOB_DWH
PRD_CFO_A5501,PCFOPCFOB_STG
PRD_CFO_A5501,PCFOPCFOU_ALIM
PRD_CFO_A5501,PCFOPCFOV_APP
PRD_CFO_A5501,PCFOPCFOV_APP_ESG
PRD_CFO_A5501,PCFOPCFOV_APP_KOK
PRD_CFO_A5501,PCFOPCFOV_APP_PNM
PRD_CFO_A5501,PCFOPCFOV_DWH
PRD_CFO_A5501,PCFOPCFOV_STG
PRD_CIG_A5513,PRD_SRV_CIG_A5513_SIS_GAM
PRD_CIR_A1921,PCIRPCIRB_CIR
PRD_CIR_A1921,PCIRPCIRB_CIR_STG
PRD_CIR_A1921,PCIRPCIRB_TMP
PRD_CIR_A1921,PCIRPCIRK_CIR
PRD_CIR_A1921,PCIRPCIRV_APP
PRD_CIR_A1921,PCIRPCIRV_CIR
PRD_CIR_A1921,PCIRPCIRV_CIR_STG
PRD_CIR_A1921,PCIRPCIRV_ERT
PRD_CIR_A1921,PCIRPCIRV_RST
PRD_CIS_AR021,PRD_SRV_CIS_AR021_CIS
PRD_CLK_A5411,APP
PRD_CLS_A5800,APP
PRD_CLS_A5800,PRD_BOV_CLS_A5800_CLASSIFICATION
PRD_CMI_A5767,APP
PRD_CMI_A5767,PRD_SRV_CMI_A5767_CMI
PRD_CMI_A5767,PRD_SUV_CMI_A5767_CMI
PRD_CMI_A5767,PRD_UV_CMI_A5767_CMI
PRD_CMP_A1858,PRD_SRV_CMP_A1858_CMP
PRD_CMS_A1546,APP
PRD_CMS_A1546,PRD_SRV_CMS_A1546_CDS
PRD_CMS_A1546,PRD_SRV_CMS_A1546_DAT
PRD_CMS_A1546,PRD_SRV_CMS_A1546_DCV
PRD_CMS_A1546,PRD_SRV_CMS_A1546_INFOMART
PRD_CMS_A1546,PRD_SRV_CMS_A1546_INFOMART_BACKUP
PRD_CMS_A1546,PRD_SRV_CMS_A1546_MNR
PRD_CMS_A1546,PRD_SRV_CMS_A1546_PAD
PRD_CMS_A1546,PRD_SRV_CMS_A1546_TSC
PRD_CMW_A1923,PCMWPALMB_CMW
PRD_CMW_A1923,PCMWPALMB_CTRL
PRD_CMW_A1923,PCMWPALMB_OFFLOAD
PRD_CMW_A1923,PCMWPALMB_PIQ
PRD_CMW_A1923,PCMWPALMB_PPR
PRD_CMW_A1923,PCMWPALMB_PRIV
PRD_CMW_A1923,PCMWPALMB_PRUN
PRD_CMW_A1923,PCMWPALMB_SNAPSHOT
PRD_CMW_A1923,PCMWPALMU_ALIM
PRD_CMW_A1923,PCMWPALMU_BA
PRD_CMW_A1923,PCMWPALMU_PIQ
PRD_CMW_A1923,PCMWPALMU_SAV
PRD_CMW_A1923,PCMWPALMU_SEL
PRD_CMW_A1923,PCMWPALMU_SEP
PRD_CMW_A1923,PCMWPALMV_APP
PRD_CMW_A1923,PCMWPALMV_APP_GDPR
PRD_CMW_A1923,PCMWPALMV_BRB
PRD_CMW_A1923,PCMWPALMV_BRB_GDPR
PRD_CMW_A1923,PCMWPALMV_CMW
PRD_CMW_A1923,PCMWPALMV_CMW_GDPR
PRD_CMW_A1923,PCMWPALMV_CTRL
PRD_CMW_A1923,PCMWPALMV_EDC
PRD_CMW_A1923,PCMWPALMV_GDP
PRD_CMW_A1923,PCMWPALMV_GDPR
PRD_CMW_A1923,PCMWPALMV_OFFLOAD
PRD_CMW_A1923,PCMWPALMV_PIQ
PRD_CMW_A1923,PCMWPALMV_PPR
PRD_CMW_A1923,PCMWPALMV_PRIV
PRD_CMW_A1923,PCMWPALMV_PRUN
PRD_CMW_A1923,PCMWPALMV_SNAPSHOT
PRD_CMW_A1923,PCMWPALMV_TECH_GDP
PRD_CMW_A1923,PCMWPALMV_TECH_GDPR
PRD_CMW_A1923,PCMWPALMV_TECH_USR
PRD_CMW_A1923,PCMWPALMV_USR
PRD_CMW_A1923,PCMWPALMV_VIP
PRD_CMW_A1923,PCMWPALMV_VIP_GDPR
PRD_CMW_A1923,PCMWPALMV_VUC
PRD_CMW_A1923,PCMWPCMWB_CMW
PRD_CMW_A1923,PCMWPRSTB_CMW
